queue_id,source_path,title,domain,artifact_type,proposed_id,proposed_hsn,status,priority,notes
IQ-0001,about/README.md,About,about,guide,AL-ARCH-FDF284A1,H02-S03-N01,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0002,about/david-sheldon.md,👤 About David Sheldon,about,artifact,AL-ARCH-CD56536F,H02-S03-N12,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0003,docs/GLOSSARY.md,📖 Glossary — Atlas Lattice Archive,docs,guide,AL-ARCH-78A2E779,H01-S07-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0004,docs/LATTICE_HYPERCUBE_12x12x12.md,LATTICE_HYPERCUBE_12x12x12_PUBLIC_EXPLAINER_v0.1,docs,artifact,AL-ARCH-F6B0DB61,H07-S09-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0005,docs/START_HERE.md,🚪 Start Here — Atlas Lattice Archive,docs,guide,AL-ARCH-102B6F72,H05-S08-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0006,docs/aetherforge/README.md,Aetherforge,docs,guide,AL-ARCH-68B01A98,H09-S09-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0007,docs/aetherforge/crosslink-quest-flow.md,Cross-Link Quest Flow,docs,artifact,AL-ARCH-7EC339B3,H07-S04-N10,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0008,docs/aetherforge/curation-loops.md,Curation Loops,docs,artifact,AL-ARCH-2F56C0CD,H12-S03-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0009,docs/aetherforge/evidence-logging-quest-flow.md,Evidence Logging Quest Flow,docs,evidence,AL-EVID-0B75E679,H12-S10-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0010,docs/aetherforge/intake-quest-flow.md,Intake Quest Flow,docs,artifact,AL-ARCH-3693963F,H07-S04-N07,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0011,docs/aetherforge/metadata-backfill-quest-flow.md,Metadata Backfill Quest Flow,docs,artifact,AL-ARCH-181E90B7,H01-S07-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0012,docs/aetherforge/playable-curation-loop-v0.1.md,Playable Curation Loop v0.1,docs,artifact,AL-ARCH-6EA2612E,H03-S07-N02,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0013,docs/aetherforge/public-readiness-polish-quest-flow.md,Public-Readiness Polish Quest Flow,docs,artifact,AL-ARCH-8B462B75,H08-S11-N08,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0014,docs/aetherforge/quest-to-task-map.md,Quest-to-Task Map,docs,artifact,AL-ARCH-D3CBAAE5,H08-S12-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0015,docs/aetherforge/quest-types.md,Aetherforge Quest Types,docs,artifact,AL-ARCH-978C8BB7,H08-S09-N08,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0016,docs/aetherforge/questboard-2026-05-28.md,Questboard — 2026-05-28,docs,artifact,AL-ARCH-BF68D578,H12-S09-N10,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0017,docs/artifact-quality-rubric.md,Artifact Quality Rubric,docs,artifact,AL-ARCH-7E0BE396,H07-S12-N12,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0018,docs/asset-catalogue-march-2026.md,"Aluminum OS — Complete Asset Catalogue (March 15, 2026)",docs,artifact,AL-ARCH-5F11C144,H12-S06-N02,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0019,docs/benchmark/README.md,Benchmark,docs,guide,AL-ARCH-A8FB7B29,H01-S12-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0020,docs/benchmark/comparison-repos-2026-05-28.md,Comparison Repositories — 2026-05-28,docs,artifact,AL-ARCH-B0FF4898,H09-S04-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0021,docs/benchmark/launch-threshold-2026-05-28.md,Launch Threshold — 2026-05-28,docs,artifact,AL-ARCH-167BC482,H11-S04-N05,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0022,docs/benchmark/scorecard-2026-05-28.md,Benchmark Scorecard — 2026-05-28,docs,artifact,AL-ARCH-5EA4A9CF,H11-S09-N02,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0023,docs/benchmark/world-class-criteria-2026-05-28.md,World-Class Public Repository Criteria — 2026-05-28,docs,artifact,AL-ARCH-BC4CC2CA,H09-S05-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0024,docs/constitutional-convention-process.md,🏛️ Constitutional Convention Process — How AIs Negotiated Governance,docs,artifact,AL-ARCH-A86FB035,H01-S04-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0025,docs/contributor-decision-tree.md,Contributor Decision Tree,docs,artifact,AL-ARCH-63B9D3B7,H04-S06-N08,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0026,docs/decisions/ADR-0002-validation-hardening-strategy.md,ADR-0002 — Validation Hardening Strategy,docs,artifact,AL-ARCH-327A4BA7,H03-S03-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0027,docs/decisions/ADR-0003-evidence-ledger-adoption.md,ADR-0003 — Evidence Ledger Adoption,docs,evidence,AL-EVID-63DD0395,H04-S06-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0028,docs/deprecation-policy.md,Deprecation and Supersession Policy,docs,doctrine,AL-GOV-EAE68F68,H07-S03-N12,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0029,docs/domain-normalization-matrix-2026-05-28.md,Domain Normalization Matrix — 2026-05-28,docs,artifact,AL-ARCH-AAD9A4B1,H03-S02-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0030,docs/domain-ownership-map-2026-05-28.md,Domain Ownership Map — 2026-05-28,docs,artifact,AL-ARCH-66FCA927,H07-S01-N02,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0031,docs/domains/README.md,Domains Index,docs,guide,AL-ARCH-5EEC2CEF,H11-S09-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0032,docs/domains/aluminum-os.md,Aluminum OS Domain,docs,artifact,AL-ARCH-4DE30E09,H06-S12-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
